,accuracy,precision,recall,f1,statistical_parity_difference,average_odds_difference,equal_opportunity_difference,differential_fairness,df_bias_amplification
0,0.7,0.67,0.59,0.63,"[-0.22, 0.23]","[-0.2, 0.2]","[0, 0]",1.11,0.65
1,0.69,0.64,0.62,0.63,"[-0.22, 0.14]","[-0.19, 0.11]","[0, 0]",0.87,0.41
2,0.69,0.66,0.59,0.62,"[-0.22, 0.18]","[-0.19, 0.15]","[0, 0]",0.87,0.41
3,0.53,0.48,0.88,0.62,"[-0.17, 0.25]","[-0.14, 0.23]","[0, 0]",1.48,1.01
