,accuracy,precision,recall,f1,statistical_parity_difference,average_odds_difference,equal_opportunity_difference,differential_fairness,df_bias_amplification
0,0.81,0.61,0.39,0.48,"[-0.05, -0.25]","[-0.05, -0.31]","[0, -1]",2.34,0.39
1,0.81,0.61,0.41,0.49,"[-0.04, -0.15]","[-0.04, -0.23]","[0, 0]",2.08,0.13
2,0.78,0.52,0.24,0.33,"[-0.11, -0.05]","[-0.13, -0.1]","[0, 0]",3.88,1.93
