,accuracy,precision,recall,f1,statistical_parity_difference,average_odds_difference,equal_opportunity_difference,differential_fairness,df_bias_amplification
0,0.82,0.7,0.31,0.43,"[-0.0, -0.17]","[0.02, -0.22]","[0, 0]",2.77,0.83
1,0.82,0.68,0.33,0.45,"[-0.01, -0.17]","[-0.0, -0.22]","[0, 0]",2.77,0.83
2,0.82,0.65,0.34,0.45,"[-0.07, -0.13]","[-0.08, -0.17]","[0, 0]",2.43,0.49
3,0.81,0.6,0.32,0.42,"[-0.0, -0.24]","[0.02, -0.3]","[0, 0]",2.43,0.48
